kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bc.1.sm_75.ptx 104 : 3351 863105 30944 0 0 3336 3009 0 0 
bc.1.sm_75.ptx 103 : 3351 1109548 52160 0 0 3218 3009 0 0 
bc.1.sm_75.ptx 102 : 3351 30926 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 96 : 2288 14170 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 95 : 2288 10002 0 0 0 2164 2033 0 0 
bc.1.sm_75.ptx 94 : 2288 20901 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 93 : 2288 9960 0 0 0 2033 2033 0 0 
bc.1.sm_75.ptx 92 : 2288 12514 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 132 : 8864 2222907 67648 0 0 8739 7341 0 0 
bc.1.sm_75.ptx 131 : 8864 2465113 119008 0 0 8305 7341 0 0 
bc.1.sm_75.ptx 130 : 8864 81813 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 124 : 6039 36999 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 123 : 6039 26554 0 0 0 5778 5190 0 0 
bc.1.sm_75.ptx 122 : 6039 55007 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 121 : 6039 26221 0 0 0 5190 5190 0 0 
bc.1.sm_75.ptx 120 : 6039 33003 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 160 : 16739 4232656 132480 0 0 16374 12683 0 0 
bc.1.sm_75.ptx 159 : 16739 4037701 180832 0 0 15332 12683 0 0 
bc.1.sm_75.ptx 158 : 16739 154515 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 152 : 11552 71111 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 151 : 11552 51922 0 0 0 11093 9398 0 0 
bc.1.sm_75.ptx 150 : 11552 105262 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 149 : 11552 50779 0 0 0 9398 9398 0 0 
bc.1.sm_75.ptx 148 : 11552 62942 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 107 : 73178 666528 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 100 : 73178 368857 0 0 0 0 0 0 1903 
bc.1.sm_75.ptx 99 : 73178 449262 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 90 : 73178 374414 0 0 0 0 0 0 1282 
bc.1.sm_75.ptx 89 : 73178 451339 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 88 : 73178 16336023 23744 0 0 50598 26638 0 0 
bc.1.sm_75.ptx 87 : 73178 665531 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 86 : 73178 668420 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 85 : 73178 30032039 2032512 0 0 64313 26638 0 0 
bc.1.sm_75.ptx 84 : 73178 666456 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 83 : 73178 672740 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 82 : 73178 462331 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 163 : 244492 2228619 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 156 : 244492 1205546 0 0 0 0 0 0 11071 
bc.1.sm_75.ptx 155 : 244492 1501727 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 146 : 244492 1228281 0 0 0 0 0 0 8343 
bc.1.sm_75.ptx 145 : 244492 1506725 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 144 : 244492 56345722 97024 0 0 167721 41229 0 0 
bc.1.sm_75.ptx 143 : 244492 2223565 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 142 : 244492 2231240 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 141 : 244492 80278206 2022720 0 0 185631 41229 0 0 
bc.1.sm_75.ptx 140 : 244492 2224173 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 139 : 244492 2226299 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 138 : 244492 1741531 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 135 : 161366 1471806 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 128 : 161366 807251 0 0 0 0 0 0 5892 
bc.1.sm_75.ptx 127 : 161366 993335 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 118 : 161366 821916 0 0 0 0 0 0 4179 
bc.1.sm_75.ptx 117 : 161366 997891 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 116 : 161366 36019736 48224 0 0 110673 36328 0 0 
bc.1.sm_75.ptx 115 : 161366 1468644 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 114 : 161366 1474228 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 65 : 299067 1851550 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 232 : 369079 2282088 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 57 : 299067 114697322 3276928 0 0 107844 42642 0 0 
bc.1.sm_75.ptx 56 : 299067 2777966 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 223 : 369079 1545142 0 0 0 0 0 0 31618 
bc.1.sm_75.ptx 32 : 4786176 36229600 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 199 : 369079 78370404 398624 0 0 277578 118511 0 0 
bc.1.sm_75.ptx 616 : 1 7 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 62 : 299066 110729317 248288 0 0 115727 42642 0 0 
bc.1.sm_75.ptx 229 : 73967 451306 0 0 0 0 0 0 0 
bc.1.sm_75.ptx 615 : 1 4 0 0 0 1 1 0 0 
bc.1.sm_75.ptx 614 : 1 21 0 0 0 0 0 0 0 
