kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
color_max.1.sm_52.ptx 313 : 2693376 14414528 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 310 : 209372 941933 0 0 0 130280 63227 0 0 
color_max.1.sm_52.ptx 308 : 1406815 6409575 0 0 0 0 0 0 63188 
color_max.1.sm_52.ptx 307 : 1406815 8936236 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 306 : 1406815 588193801 5603392 0 0 319441 83999 0 0 
color_max.1.sm_52.ptx 305 : 1406815 681796384 10221248 0 0 319441 83999 0 0 
color_max.1.sm_52.ptx 304 : 1406815 14660350 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 303 : 1406815 13450230 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 302 : 1406815 9101359 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 301 : 1406815 9118034 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 299 : 2691603 7045585 0 0 0 0 0 0 74617 
color_max.1.sm_52.ptx 298 : 2691603 17209522 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 297 : 2691603 1116401303 4788704 0 0 336456 84114 0 0 
color_max.1.sm_52.ptx 296 : 2691603 27052811 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 295 : 2691603 27668444 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 294 : 2691603 18735117 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 292 : 2693376 9796 0 0 0 0 0 0 9 
color_max.1.sm_52.ptx 291 : 2693376 19900832 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 290 : 2693376 28502752 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 289 : 2693376 16560544 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 288 : 2693376 18352320 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 287 : 2693376 25735424 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 286 : 2693376 42404448 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 285 : 2693376 41591232 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 284 : 2693376 42372320 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 283 : 2693376 33764736 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 282 : 2693376 21931232 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 264 : 2693376 14066560 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 261 : 1406815 6338452 0 0 0 319441 83999 0 0 
color_max.1.sm_52.ptx 260 : 1406815 12920053 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 259 : 1406815 8827008 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 256 : 2507740 8519978 0 0 0 0 0 0 226476 
color_max.1.sm_52.ptx 255 : 2507740 22915625 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 254 : 2507740 15452846 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 253 : 2507740 25349487 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 250 : 1839550 17277942 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 249 : 1839550 622132449 5465440 0 0 1389332 422883 0 0 
color_max.1.sm_52.ptx 248 : 1839550 16897308 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 247 : 1839550 17351469 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 246 : 1839550 218583561 19136 0 0 1784510 422883 0 0 
color_max.1.sm_52.ptx 245 : 1839550 17517998 0 0 0 422883 422883 0 0 
color_max.1.sm_52.ptx 244 : 1839550 10086961 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 241 : 1839550 10002200 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 240 : 2507740 3490858 0 0 0 0 0 0 219611 
color_max.1.sm_52.ptx 110 : 317842 1665278 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 109 : 317842 103324375 730208 0 0 235912 76354 0 0 
color_max.1.sm_52.ptx 108 : 317842 2938103 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 107 : 317842 2896450 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 106 : 317842 16006409 0 0 0 285442 76354 0 0 
color_max.1.sm_52.ptx 105 : 317842 1534817 0 0 0 76354 76354 0 0 
color_max.1.sm_52.ptx 104 : 317842 1773385 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 101 : 317842 1750365 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 100 : 382413 341399 0 0 0 0 0 0 33476 
color_max.1.sm_52.ptx 99 : 382413 2365884 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 98 : 382413 2365106 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 97 : 382413 2372431 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 96 : 382413 100987753 212416 0 0 285408 79978 0 0 
color_max.1.sm_52.ptx 95 : 382413 3485773 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 94 : 382413 3496735 0 0 0 0 0 0 0 
color_max.1.sm_52.ptx 93 : 382413 171119399 10934272 0 0 343154 79978 0 0 
