kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mis.1.sm_75.ptx 476 : 1002828 4499181 0 0 0 221534 56076 0 0 
mis.1.sm_75.ptx 466 : 1794402 11639768 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 462 : 1794816 17158560 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 458 : 1794816 18560608 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 428 : 47772 297175 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 410 : 33717 164188 0 0 0 32771 20248 0 0 
mis.1.sm_75.ptx 409 : 33717 313869 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 407 : 47772 75609 0 0 0 0 0 0 1723 
mis.1.sm_75.ptx 406 : 47772 297685 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 405 : 47772 9582228 150048 0 0 46375 28206 0 0 
mis.1.sm_75.ptx 404 : 47772 442402 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 403 : 47772 437980 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 402 : 47772 5168343 151968 0 0 47318 28206 0 0 
mis.1.sm_75.ptx 399 : 32297 157745 0 0 0 31467 19091 0 0 
mis.1.sm_75.ptx 398 : 32297 300734 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 396 : 47772 82864 0 0 0 0 0 0 1189 
mis.1.sm_75.ptx 395 : 47772 297703 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 375 : 111392 223147 0 0 0 0 0 0 4798 
mis.1.sm_75.ptx 394 : 47772 10141575 129888 0 0 46458 28206 0 0 
mis.1.sm_75.ptx 393 : 47772 442928 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 392 : 47772 438892 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 349 : 25804 236428 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 346 : 14654 70563 0 0 0 14051 7842 0 0 
mis.1.sm_75.ptx 345 : 14654 135308 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 343 : 25804 59907 0 0 0 0 0 0 284 
mis.1.sm_75.ptx 362 : 38576 217118 0 0 0 35523 11300 0 0 
mis.1.sm_75.ptx 342 : 25804 161048 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 361 : 38576 355364 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 359 : 66231 148365 0 0 0 0 0 0 1880 
mis.1.sm_75.ptx 358 : 66231 413179 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 341 : 25804 6411721 55680 0 0 24641 14510 0 0 
mis.1.sm_75.ptx 340 : 25804 236600 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 357 : 66231 17874009 143648 0 0 60699 19926 0 0 
mis.1.sm_75.ptx 339 : 25804 237262 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 356 : 66231 605783 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 355 : 66231 607869 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 391 : 47772 10694513 482112 0 0 47305 28206 0 0 
mis.1.sm_75.ptx 388 : 33784 311833 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 354 : 66231 24715160 1165824 0 0 59403 19926 0 0 
mis.1.sm_75.ptx 338 : 25804 10209543 796704 0 0 25085 14510 0 0 
mis.1.sm_75.ptx 353 : 66231 612557 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 337 : 25804 239025 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 352 : 66231 606444 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 336 : 25804 238491 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 334 : 66231 216219 0 0 0 0 0 0 11623 
mis.1.sm_75.ptx 333 : 66231 417837 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 331 : 111392 241113 0 0 0 0 0 0 14949 
mis.1.sm_75.ptx 330 : 111392 702268 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 328 : 126351 79968 0 0 0 0 0 0 9959 
mis.1.sm_75.ptx 327 : 126351 787323 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 326 : 126351 785368 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 325 : 126351 1164561 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 323 : 126351 0 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 322 : 126351 785970 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 321 : 126351 564794 0 0 0 63987 21847 0 0 
mis.1.sm_75.ptx 320 : 126351 688344 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 317 : 126350 51624510 132224 0 0 67007 21847 0 0 
mis.1.sm_75.ptx 315 : 126351 5 0 0 0 0 0 0 1 
mis.1.sm_75.ptx 314 : 126351 787329 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 313 : 126351 1161232 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 312 : 126351 53157728 1987040 0 0 63987 21847 0 0 
mis.1.sm_75.ptx 311 : 126351 1161783 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 310 : 126351 555843 0 0 0 63987 21847 0 0 
mis.1.sm_75.ptx 309 : 126351 727225 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 308 : 126351 1270469 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 307 : 126351 808587 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 306 : 126351 802590 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 304 : 697527 3247781 0 0 0 0 0 0 12508 
mis.1.sm_75.ptx 303 : 697527 4640854 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 302 : 697527 274812128 2872064 0 0 214707 56012 0 0 
mis.1.sm_75.ptx 301 : 697527 6580232 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 299 : 1794402 6108864 0 0 0 0 0 0 56012 
mis.1.sm_75.ptx 298 : 1794402 11893287 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 297 : 1794402 1003069832 6936416 0 0 224304 56076 0 0 
mis.1.sm_75.ptx 296 : 1794402 953289599 7177088 0 0 224304 56076 0 0 
mis.1.sm_75.ptx 295 : 1794402 17926834 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 294 : 1794402 13879822 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 293 : 1794402 17859698 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 292 : 1794402 17719619 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 291 : 1794402 12472317 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 289 : 1794816 2181 0 0 0 0 0 0 6 
mis.1.sm_75.ptx 288 : 1794816 13350272 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 287 : 1794816 17984672 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 286 : 1794816 11976736 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 285 : 1794816 11910176 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 284 : 1794816 11972992 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 283 : 1794816 12329728 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 282 : 1794816 12850848 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 281 : 1794816 17079360 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 280 : 1794816 27221568 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 149 : 213260 1938701 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 473 : 1002828 6251140 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 136 : 95630 497664 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 135 : 95630 30877557 46592 0 0 65260 18167 0 0 
mis.1.sm_75.ptx 471 : 1794402 4160522 0 0 0 0 0 0 56034 
mis.1.sm_75.ptx 134 : 95630 881026 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 470 : 1794402 11037964 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 133 : 95630 871356 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 468 : 1794402 17038578 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 131 : 95630 868542 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 467 : 1794402 17158952 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 130 : 95630 876381 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 117 : 393162 2426098 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 106 : 393162 10 0 0 0 0 0 0 2 
mis.1.sm_75.ptx 273 : 1794816 18054240 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 105 : 393162 2413541 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 272 : 1794816 11799776 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 441 : 1794816 10276416 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 104 : 393162 3583030 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 103 : 393162 176932191 2188352 0 0 73139 22382 0 0 
mis.1.sm_75.ptx 102 : 393162 3612476 0 0 0 0 0 0 0 
mis.1.sm_75.ptx 438 : 47772 76361 0 0 0 0 0 0 5211 
