kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
pagerank.1.sm_75.ptx 144 : 299264 1595552 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 141 : 369079 1117734 0 0 0 0 0 0 28577 
pagerank.1.sm_75.ptx 140 : 369079 2321447 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 139 : 369079 3714754 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 138 : 369079 3411567 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 137 : 369079 101601777 191328 0 0 318798 58245 0 0 
pagerank.1.sm_75.ptx 136 : 369079 16308699 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 135 : 369079 15663773 0 0 0 137939 58245 0 0 
pagerank.1.sm_75.ptx 134 : 369079 3458597 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 133 : 369079 3427730 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 132 : 369079 73745138 587712 0 0 348054 58245 0 0 
pagerank.1.sm_75.ptx 131 : 369079 102197424 181184 0 0 312748 58245 0 0 
pagerank.1.sm_75.ptx 130 : 369079 16334720 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 129 : 369079 15920200 0 0 0 137939 58245 0 0 
pagerank.1.sm_75.ptx 128 : 369079 3453799 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 127 : 369079 3418464 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 126 : 369079 75130237 589536 0 0 348002 58245 0 0 
pagerank.1.sm_75.ptx 125 : 369079 102261879 169024 0 0 316125 58245 0 0 
pagerank.1.sm_75.ptx 124 : 369079 16309950 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 123 : 369079 15909572 0 0 0 137939 58245 0 0 
pagerank.1.sm_75.ptx 122 : 369079 3459639 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 121 : 369079 3422012 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 120 : 369079 77328347 587424 0 0 348049 58245 0 0 
pagerank.1.sm_75.ptx 119 : 369079 103674044 141920 0 0 325181 58245 0 0 
pagerank.1.sm_75.ptx 118 : 369079 16335907 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 117 : 369079 15988522 544 0 0 137939 58245 0 0 
pagerank.1.sm_75.ptx 116 : 369079 3445233 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 115 : 369079 3419796 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 114 : 369079 122137657 1460192 0 0 348048 58245 0 0 
pagerank.1.sm_75.ptx 111 : 155058 1438320 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 110 : 155058 1420317 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 108 : 299067 767303 0 0 0 0 0 0 9106 
pagerank.1.sm_75.ptx 107 : 299067 2137725 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 104 : 244492 2306418 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 103 : 244492 81407282 20480 0 0 190243 9346 0 0 
pagerank.1.sm_75.ptx 102 : 244492 10811133 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 101 : 244492 14076982 12128 0 0 37361 9346 0 0 
pagerank.1.sm_75.ptx 35 : 299264 5684192 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 75 : 73178 685929 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 72 : 161366 480122 0 0 0 0 0 0 9270 
pagerank.1.sm_75.ptx 71 : 161366 1023429 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 43 : 299264 2067936 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 31 : 299264 2982592 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 47 : 299067 2958803 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 214 : 299264 2405984 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 46 : 299067 1992221 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 213 : 299264 4736512 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 44 : 299264 1113 0 0 0 0 0 0 1 
pagerank.1.sm_75.ptx 211 : 299264 3170432 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 212 : 299264 4176736 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 32 : 299264 4300512 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 33 : 299264 5159328 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 34 : 299264 5437440 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 228 : 299067 3364718 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 61 : 299067 2753427 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 36 : 299264 5524160 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 54 : 299066 129640180 29312 0 0 46729 9346 0 0 
pagerank.1.sm_75.ptx 221 : 299067 2020706 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 230 : 299067 7885644 0 0 0 37384 9346 0 0 
pagerank.1.sm_75.ptx 63 : 299067 1860226 0 0 0 0 0 0 0 
pagerank.1.sm_75.ptx 37 : 299264 3328800 0 0 0 0 0 0 0 
