kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
sssp.1.sm_75.ptx 165 : 299072 1619040 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 162 : 299067 1718476 0 0 0 37384 9346 0 0 
sssp.1.sm_75.ptx 161 : 299067 2757267 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 160 : 299067 1894365 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 154 : 155058 888779 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 153 : 369079 1205397 0 0 0 0 0 0 28577 
sssp.1.sm_75.ptx 152 : 369079 2394051 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 151 : 369079 4166606 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 150 : 369079 3795523 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 149 : 369079 3468673 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 148 : 369079 3645890 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 147 : 369079 199128869 1243104 0 0 348054 58245 0 0 
sssp.1.sm_75.ptx 146 : 369079 208403272 914688 0 0 269809 58245 0 0 
sssp.1.sm_75.ptx 145 : 369079 3471592 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 144 : 369079 4027011 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 143 : 369079 199612607 1250048 0 0 348054 58245 0 0 
sssp.1.sm_75.ptx 142 : 369079 3667306 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 141 : 369079 4276885 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 140 : 369079 196562703 1239424 0 0 348002 58245 0 0 
sssp.1.sm_75.ptx 139 : 369079 197229972 785184 0 0 263745 58245 0 0 
sssp.1.sm_75.ptx 138 : 369079 3536659 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 137 : 369079 4302237 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 136 : 369079 192515752 1212352 0 0 348002 58245 0 0 
sssp.1.sm_75.ptx 135 : 369079 3671640 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 134 : 369079 4185142 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 133 : 369079 192141185 1192192 0 0 348049 58245 0 0 
sssp.1.sm_75.ptx 132 : 369079 183174315 667456 0 0 261420 58245 0 0 
sssp.1.sm_75.ptx 131 : 369079 3503723 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 130 : 369079 3918813 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 129 : 369079 197215214 1211936 0 0 348049 58245 0 0 
sssp.1.sm_75.ptx 128 : 369079 3596792 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 127 : 369079 3982410 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 126 : 369079 228433505 2017696 0 0 348048 58245 0 0 
sssp.1.sm_75.ptx 125 : 369079 189193099 577600 0 0 262353 58245 0 0 
sssp.1.sm_75.ptx 124 : 369079 3460565 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 123 : 369079 4083338 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 122 : 369079 236864088 2017312 0 0 348048 58245 0 0 
sssp.1.sm_75.ptx 121 : 369079 3781862 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 120 : 369079 3502536 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 117 : 155058 1174767 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 116 : 155058 1372976 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 115 : 155058 1146127 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 114 : 155058 1465099 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 112 : 299067 823263 0 0 0 0 0 0 9106 
sssp.1.sm_75.ptx 111 : 299067 1905848 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 108 : 244492 1607289 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 107 : 244492 2485769 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 106 : 244492 2278023 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 105 : 244492 2501188 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 104 : 244492 143319478 1121792 0 0 139160 9346 0 0 
sssp.1.sm_75.ptx 103 : 244492 112134153 85024 0 0 143844 9346 0 0 
sssp.1.sm_75.ptx 102 : 244492 2284974 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 101 : 244492 2493765 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 100 : 244492 146440579 1087808 0 0 139160 9346 0 0 
sssp.1.sm_75.ptx 99 : 244492 2286377 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 98 : 244492 1755024 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 97 : 244492 2274463 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 96 : 244492 2254126 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 95 : 244492 1973839 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 92 : 161366 1650727 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 91 : 161366 1492931 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 90 : 161366 1547392 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 77 : 73178 748180 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 76 : 73178 671215 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 89 : 161366 112189913 1614304 0 0 108980 9343 0 0 
sssp.1.sm_75.ptx 88 : 161366 75872596 36960 0 0 101367 9343 0 0 
sssp.1.sm_75.ptx 87 : 161366 1508875 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 86 : 161366 1675340 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 85 : 161366 118699571 1613152 0 0 108980 9343 0 0 
sssp.1.sm_75.ptx 84 : 161366 1501775 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 83 : 161366 1156557 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 82 : 161366 1483435 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 81 : 161366 1479732 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 80 : 161366 1292766 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 68 : 73178 530687 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 53 : 299067 2761678 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 375 : 299066 4387272 0 0 0 37384 9346 0 0 
sssp.1.sm_75.ptx 51 : 299067 0 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 57 : 299067 298911 0 0 0 0 0 0 8973 
sssp.1.sm_75.ptx 50 : 299067 1858914 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 56 : 299067 1894082 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 49 : 299067 131220515 288928 0 0 37384 9346 0 0 
sssp.1.sm_75.ptx 48 : 299067 134822371 907392 0 0 46729 9346 0 0 
sssp.1.sm_75.ptx 398 : 299072 1959712 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 361 : 299066 1897301 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 45 : 299067 2875283 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 349 : 299072 2073856 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 367 : 1 22 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 33 : 299072 2946464 0 0 0 0 0 0 0 
sssp.1.sm_75.ptx 348 : 299072 2542240 0 0 0 0 0 0 0 
